sub_ID,test_age,condition,order,training,carrot_condition,carrot_type,carrot_selection,carrot_target,carrot,hat_condition,hat_type,hat_selection,hat_target,hat,cookies_condition,cookies_type,cookies_selection,cookies_target,cookies,trains_condition,trains_type,trains_selection,trains_target,trains,cats_condition,cats_type,cats_selection,cats_target,cats,purses_condition,purses_type,purses_selection,purses_target,purses,keys_condition,keys_type,keys_selection,keys_target,keys,shirts_condition,shirts_type,shirts_selection,shirts_target,shirts,breads_condition,breads_type,breads_selection,breads_target,breads,horses_condition,horses_type,horses_selection,horses_target,horses,bears_condition,bears_type,bears_selection,bears_target,bears,frogs_condition,frogs_type,frogs_selection,frogs_target,frogs,plates_condition,plates_type,plates_selection,plates_target,plates,books_condition,books_type,books_selection,books_target,books,elephants_condition,elephants_type,elephants_selection,elephants_target,elephants,lamps_condition,lamps_type,lamps_selection,lamps_target,lamps,bananas_condition,bananas_type,bananas_selection,bananas_target,bananas,butterflies_condition,butterflies_type,butterflies_selection,butterflies_target,butterflies
071415_02,4.676249144,B,"Quantifier, DCCS, SI",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,3,3,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,2,1,0,all,control_all,3,3,1
071415_03,4.410677618,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,3,3,1,none,control_none,3,3,1,some,implicature,3,3,1,all,control_all,2,2,1,none,control_none,1,1,1
071415_04,3.608487337,B,"Quantifier, DCCS, SI",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,2,3,0,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
071415_06,3.947980835,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,1,1,1
071615_01,4.481861739,C,"Quantifier, DCCS, SI",1,some,implicature,2,2,1,none,control_none,2,3,0,all,control_all,3,3,1,none,control_none,3,1,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,2,1,0,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,3,3,1,none,control_none,1,3,0,some,implicature,3,3,1,all,control_all,2,2,1,none,control_none,2,1,0
071615_02,4.646132786,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,1,1,1
072015_01,4.676249144,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
072015_03,4.804928131,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,2,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0
072015_04,3.518138261,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,2,1,0,some,implicature,3,3,1,none,control_none,2,3,0,some,implicature,1,3,0,all,control_all,2,2,1,none,control_none,2,1,0
072015_05,3.34017796,B,"Quantifier, DCCS, SI",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
072015_06,3.832991102,B,"Quantifier, DCCS, SI",1,none,control_none,2,1,0,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,3,1,0,all,control_all,2,2,1,none,control_none,3,1,0,some,implicature,3,1,0,all,control_all,3,3,1
072115_01,3.904175222,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
072115_02,3.605749487,B,"SI, DCCS, Quantifier",1,none,control_none,2,1,0,all,control_all,2,1,0,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,2,3,0,some,implicature,2,1,0,none,control_none,2,3,0,some,implicature,1,2,0,all,control_all,2,3,0,none,control_none,2,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
072115_03,4.114989733,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0
072215_01,3.452429843,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,1,1,1
072215_02,4.183436003,B,"Quantifier, DCCS, SI",1,none,control_none,2,1,0,all,control_all,2,1,0,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,2,3,0,some,implicature,2,1,0,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,2,3,0,none,control_none,2,3,0,some,implicature,2,2,1,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
072215_03,3.378507871,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,1,3,0,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,2,3,0,none,control_none,2,1,0,all,control_all,1,2,0,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,2,1,0,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,3,3,1,all,control_all,3,2,0,none,control_none,3,1,0
072215_04,4.350444901,B,"SI, DCCS, Quantifier",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,1,1,1,all,control_all,3,3,1
072215_05,4.572210815,B,"Quantifier, DCCS, SI",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,1,1,1,all,control_all,3,3,1
072215_06,3.222450376,C,"SI, DCCS, Quantifier",1,some,implicature,1,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,3,1,0,some,implicature,1,2,0,all,control_all,1,3,0,none,control_none,1,1,1,all,control_all,1,2,0,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,1,3,0,none,control_none,1,3,0,some,implicature,2,3,0,all,control_all,1,2,0,none,control_none,2,1,0
072215_07,3.830253251,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,3,1,0,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0
072315_01,3.014373717,A,"SI, DCCS, Quantifier",1,all,control_all,2,3,0,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,1,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,2,3,0,all,control_all,2,1,0,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,3,3,1,all,control_all,3,2,0,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
072315_02,3.430527036,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
072415_01,4.123203285,B,"SI, DCCS, Quantifier",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,3,3,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,2,1,0,all,control_all,3,3,1
072415_02,4.161533196,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
072415_03,4.561259411,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,some,implicature,3,1,1,all,control_all,1,1,1,none,control_none,2,1,0,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0
072415_04,4.06844627,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
080315_01,4.07118412,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0
080315_02,4.07118412,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,3,1,0,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,1,1,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0
080315_03,4.511978097,B,"Quantifier, DCCS, SI",1,none,control_none,2,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,1,1,1,all,control_all,3,3,1
080315_04,4.065708419,B,"Quantifier, DCCS, SI",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,1,1,1,all,control_all,3,3,1
080415_02,3.143052704,A,"Quantifier, DCCS, SI",1,all,control_all,2,3,0,some,implicature,2,2,1,none,control_none,2,1,0,some,implicature,3,3,1,all,control_all,2,1,0,none,control_none,2,1,0,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,2,1,0,none,control_none,3,3,1,some,implicature,1,2,0,all,control_all,2,1,0,none,control_none,3,3,1,all,control_all,3,2,0,some,implicature,3,1,0,all,control_all,3,2,0,none,control_none,1,3,0,some,implicature,2,2,1
080415_03,4.101300479,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,3,3,1,none,control_none,3,1,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,3,2,0,some,implicature,3,2,0,all,control_all,2,1,0,none,control_none,3,1,0,some,implicature,2,2,1,all,control_all,2,1,0,some,implicature,3,3,1,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
080415_04,3.115674196,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,some,implicature,3,3,1,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,3,2,0,none,control_none,2,3,0,all,control_all,2,1,0,none,control_none,2,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,1,2,0,none,control_none,2,3,0,some,implicature,2,2,1
080415_05,4.744695414,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,1,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
080415_06,4.889801506,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,1,3,0,all,control_all,3,3,1,none,control_none,2,1,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,1,0,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,2,3,0,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,3,1,0
080415_07,3.370294319,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,3,3,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,1,3,0,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,2,2,1
080415_08,4.073921971,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,3,3,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
080415_09,3.211498973,B,"SI, DCCS, Quantifier",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
080415_10,4.016427105,B,"SI, DCCS, Quantifier",1,none,control_none,3,1,0,all,control_all,2,1,0,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,3,2,0,all,control_all,2,3,0,some,implicature,2,1,0,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,2,3,0,some,implicature,2,2,1,none,control_none,3,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
080515_01,3.646817248,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,2,1,0,some,implicature,3,3,1,all,control_all,2,1,0,none,control_none,2,1,0,some,implicature,2,2,1,none,control_none,1,3,0,all,control_all,2,1,0,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,2,1,0,none,control_none,2,3,0,all,control_all,3,2,0,some,implicature,2,1,0,all,control_all,3,2,0,none,control_none,3,3,1,some,implicature,2,2,1
080515_02,4.528405202,C,"SI, DCCS, Quantifier",1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,3,3,1,none,control_none,3,3,1,some,implicature,3,3,1,all,control_all,2,2,1,none,control_none,1,1,1
